english	telugu
భద్రతాదళాల కాల్పుల్లో ముగ్గురు ఉగ్రవాదులు హతమైనట్టు ఆర్మీ ప్ర‌తినిధి క‌ల్న‌ల్ రాజేష్ క‌లియా తెలిపారు.	Defence spokesman in Srinagar, Colonel Rajesh Kalia said that three militants were killed in the encounter.
అది కూడా ఫేస్‌బుక్‌కు సంబంధించిందే.	And that goes for Facebook too.
వారు యెహో వాకు అర్పించు వారి ప్రథమ ఫలములను, అనగా నూనెలో ప్రశస్తమైనదంతయు, ద్రాక్షారస ధాన్యములలో ప్రశస్త మైనదంతయు నీకిచ్చితిని.	"""All the best of the oil, and all the best of the vintage, and of the grain, the first fruits of them which they give to Yahweh, to you have I given them."
ఈ ఘటన స్థానికంగా ఉన్న సీసీ కెమెరాల్లో రికార్డైంది.	The incident has been captured on CCTV cameras in the area.
ఈ చిత్రంలో కృతి సనన్‌ కూడా హీరోయిన్‌గా నటించింది.	The film also features Kriti Sanon in a prominent role.
మిస్టర్ సింగ్వి	Mr. Singhvi
నేను గత సంవత్సరం ఒక కారు ప్రమాదంలో చిక్కుకున్నాడు జరిగినది.	I was involved in a car accident last year.
ఎవరిని మోసం చేస్తారు మీరు?	Whom do you cheat?
పెరావెస్ మోనోట్రేసర్ కంపెనీ ఈ ఎయిర్ కండిషన్డ్ బైక్ ధరను 52,500 యూరోలు (సుమారు రూ	Peraves Monotracer has priced its air conditioned bike at 52,500 Euros
హుటాహుటిన క్షతగాత్రులను సమీపంలోకి దవాఖానలకు తరలించారు.	The injured were shifted to nearby hospitals.
ఒకరు తమ ఆహారంలో తాజా పండ్లను చేర్చాలి మరియు ఆయిల్ ఎక్కువగా ఉండే ఆహారాలకు , అధికంగా కారంగా మరియు ఉప్పగా లేని వంటకాలకు కట్టుబడి ఉండాలి.	One must add fresh fruits to their diet and stick to recipes that aren't too oily, excessively spicy and salty.
దీనికి పూర్తిగా కొత్త లుక్‌ని కల్పించారు.	It's got an entirely new look.
దీంతో రైతులు సంతోషం వ్యక్తం చేస్తున్నారు.	The farmers are happy.
బివిఎస్ఎన్ ప్రసాద్ నిర్మిస్తున్నారు.	BVSN Prasad is producing it.
ప్రస్తుత భారత్ ఆ స్థాయికి చేరుకోలేదని చెప్పలేం.	India hasn't quite reached that state yet.
ఇందుకు కొంత సమయం తీసుకుంటుంది.	This will take some time.
రష్యన్ ఫెడరేషన్ దీనిని ఖండించింది.	Russia has denied that.
మెగాఈవెంట్(ప్రపంచకప్, యూరోఛాంపియన్‌షిప్)లలో 1958 తరువాత జర్మనీపై ఫ్రాన్స్‌కు ఇదే తొలి విజయం కావడం విశేషం.	It was first win for France vs Germany at a major tournament since 1958 World Cup.
ఈ ఘటనకు సంబంధించి వివరాలిలా ఉన్నాయి	The details of the incident are as follows.
ఎన్నో ప్రయత్నాలు చేస్తుంటారు.	Many have tried.
సమూహముగా కూడిన ఇశ్రాయేలీయులగు స్త్రీపురుషుల కందరికి ఒక్కొక రొట్టెయు ఒక్కొక భక్ష్యమును ఒక్కొక ద్రాక్షపండ్ల అడయు పంచిపెట్టిన తరువాత జనులందరును తమ తమ యిండ్లకు వెళ్లిపోయిరి.	And he dealt among all the people, even among the whole multitude of Israel, as well to the women as men, to every one a cake of bread, and a good piece of flesh, and a flagon of wine. So all the people departed every one to his house.
అరుణ్ ఈ టాస్క్ ఎలా పూర్తి చేశాడు ?	How did Arjun carry out the mission?
జుట్టు నష్టం సమస్య అనేక మహిళలు చాలా సుపరిచితమే.	Hair shedding is a common problem faced by many women.
న్యూఢిల్లీ: ఢిల్లీ ముఖ్యమంత్రిఅరవింద్ కేజ్రీవాల్‌పై ఓ యువతి సిరా దాడికి పాల్పడింది.	New Delhi: Delhi Chief Minister Arvind Kejriwal attacked Lt.
తేలికపాటి సాంకేతిక పరిజ్ఞానం, విధానపరమైన చర్యల ద్వారా ఎలాంటి హడావుడి లేకుండా అవినీతిని ఎంత సమర్థవంతంగా నిర్మూలించవచ్చుననడానికి ఒక అనుభవం మీతో పంచుకుంటాను.	Let me share an example to illustrate how corruption can be eliminated silently and efficiently by simple technology and policy based initiatives.
ఈ సంఘటన శివాజీపాలెంలో సోమవారం ఉదయం చోటుచేసుకుంది	The incident took place on Monday
దీనికి సంగీత దర్శకుడిగా ఎ. ఆర్. రెహమాన్ ఖరారయ్యాడు.	AR Rahman is the music director.
అతన్ని ఎవరు తప్పించారు?	Who released him?
5 లక్షల నగదును స్వాధీనం చేసుకున్నారు.	5 lakhs was recovered.
ఇది అర్ధం చేసుకోవటం కష్టం?	Is that hard to understand?
ఇక్కడ ఒక సూచించే జాబితా.	Here is an indicative list.
మహారాష్ట్ర, హర్యానాలో ఎగ్జిట్‌ పోల్స్‌ అంచనాలకు దగ్గరగానే ఫలితాలుంటాయా?	Expectations vs Reality: Did exit polls correctly predict Maharashtra, Haryana assembly election results?
ఈ దాడిలో వారిద్దరు తీవ్రంగా గాయపడ్డారు.	Both were severely injured in the attack.
అనంతరం ఒకరిపై ఒకరు రాళ్లు రువ్వుకున్నారు.	They later hurled stones at each other.
భారత ప్రజాస్వామ్యంలో చీకటి రోజు ఆర్టికల్ 370ని రద్దు చేయడం అత్యంత హేయమైన చర్య	Mufti had called the revocation of Article 370 the 'darkest day' in Indian democracy.
పిగ్ మరియు పాము	dog and leopard
ఇందుకు తామే ఆయనకు థ్యాంక్స్ చెబుతున్నామన్నారు.	He is grateful for this.
ఈ చిత్రంలో నాని సరసన లావణ్య త్రిపాటి హీరోయిన్ గా నటించింది.	The film stars Lavanya Tripathi as the heroine.
బాంబే హైకోర్టు కీలక వ్యాఖ్యలు	Bombay High Court News
వచ్చి చూసింది లేదు.	Didnt see that coming.
"""టీకాలకు మద్దతు పొందిన‌ కనీసం అరడజను మంది అభ్యర్థులలో, నలుగురు మంచి పురోగ‌తి దశలో ఉన్నారు. స‌త్వ‌ర‌ అనుమతుల కోసం ఒకే చోట రెగ్యులేట‌రీ ప్లాట్ ఫాంను ఏర్పాటు చేయ‌డం జ‌రిగింది "" అని ఆయన చెప్పారు."	Out of at least half a dozen candidates supported for vaccines, four are in an advanced stage and regulatory platform at one place has been constituted for speedy clearances, he said.
బెర్రీస్ ను రోజులో ఎప్పైడైనా తినొచ్చు.	Fruits can be eaten at any time of the day.
ఆ విషయంలో కాంగ్రెస్, బిజెపి రెండూ సమానంగా తప్పు చేసినవే.	The BJP and the Congress face the same problem.
కృతికర్త జక్కన.	Uncle Jack.
ఈ వ్యాఖ్యలను ఆయన భేషరతుగా ఉపసంహరించుకోవాలని డిమాండ్‌ చేశారు.	They demanded that the remarks should be expunged.
పవర్ స్టార్ పవన్ కళ్యాణ్ అప్ కమింగ్ మూవీ ‘పంజా’.	Telugu movie Agnyaathavaasi stars Power star Pawan Kalyan .
100 మంది కొడుకులకు జన్మనిచ్చే వరాన్ని ఆమెకు ప్రసాదించాడు.	She had a boon to beget 100 sons.
కేవలం తెల్లవాడు కానందువల్ల రైలు బండి మొదటి తరగతి లోంచి నెట్టివేయడం హోటళ్ళలోకి రానివ్వకపోవడం వంటి జాతి వివక్షతలు ఆయనకు సమాజంలోని అన్యాయాలను కళ్ళకు కట్టినట్లు చూపాయి.	He was pushe away from the first class of rail because of not being white,he had clearly eye visioned the racial prejuidices of society like not permitting into the hotels.
వారికి మనోచికిత్స చేయాలి.	They have to be sensitised.
అంటే పాఠశాల.	This is a school.
ఈ విషయం గురించి ఆలోచించడం!	Do ponder over this!
ఇలాంటి వారిపై చట్టపరమైన చర్యలు తీసుకుంటామని తెలిపారు.	Legal action shall be taken against such persons, he added.
ఆచితూచి అడుగులేస్తున్నారు?	Are you stepping down?
బాలానగర్‌లో కాంగ్రెస్, బీజేపీ, టీఆర్‌ఎస్‌ మధ్య త్రిముఖ పోటీ నెలకొంది.	There is a triangular contest between TRS, BJP and Congress.
ఐశ్వర్య‌రాయ్, వివేక్ ఒబెరాయ్	Aishwarya Rai and Vivek Oberoi
బీహర్‌లో ప్రభుత్వం కొలువుదీరింది.	The Bihar government is in prison.
ఈ మ్యాచ్‌ ద్వారా రిషబ్‌పంత్‌ అత్యధిక క్యాచ్‌లు(11) పట్టిన వికెట్‌కీపర్‌గా ప్రపంచ రికార్డును సమం చేశాడు.	Wicketkeeper Rishabh Pant ended up with a world record-equalling 11 catches in the match.
ఏమరుపాటుతనం ఇబ్బందులకు దారితీస్తుంది.	A mistake can bring problems.
రహదారులన్నీ గోదారిని తలపించాయి.	All the roads were jammed.
ఇద్దరు వ్యక్తులను అదుపులోకి తీసుకొని విచారిస్తున్నారు.	Two people were arrested and are being questioned.
ఇక, డీఎంకేలో మహిళా విభాగం గ్లామర్‌గా కరుణానిధి గారాల పట్టి కనిమొళి రంగంలోకి దిగారు	DMK( Dravida Munnetra Kazhagam)'s women wing is handled by Kanimozhi, daughter of Karunanidhi
పుస్తకం నుండి కాదు.	Not a book.
ప్రేమకు ప్రేమింపబడేవాడు ముఖ్యం.	Love is important.
దీంట్లో భాగంగా .	Its part of...
అందులో 83,048 పోస్టుల భర్తీకి ఆర్థిక శాఖ అనుమతి ఇచ్చింది.	Out of this, 83,048 posts have been cleared by the Finance Ministry.
వారు 24 గంటలూ పనిచేస్తూ అవసరంలో ఉన్నవారిని ఆదుకోవడమేగాక ప్రతి ఒక్కరినీ ఆరోగ్యంగా ఉంచేందుకు శ్రమిస్తున్నారు” అని ఆయన పేర్కొన్నారు.	They are working round the clock, assisting those in need and ensuring everyone is healthy.
సాధ్యమైన పని కూడా కాదు.	Nor is that possible.
ఆ తర్వాత, పాఠశాల సభ్యుల కృతజ్ఞతను వ్యక్తంచేసిన పత్రం చదవబడింది.	It said: We feel a deep sense of responsibility to use what we have learned to carry out faithfully our assignments as missionaries.
కోకోనట్ చాక్ లెట్	coconut chocolate
ఇది నేను చాలా సంతోషిస్తున్న విషయం.	Its something I am very happy about.
అయితే, అంత సీన్ లేదనే అభిప్రాయం వ్యక్తమవుతోంది.	However, that does not seem to be the case.
కాగా, గత 24 గంటల్లో 2083 కొత్త కేసులు, 11 మరణాలు నమోదవగా 1114 మంది కోలుకున్నారు. కొత్త కేసులలో 578 జీహెచ్‌ఎంసీ పరిధిలో ఉన్నాయి.	2083 new cases, 1114 recoveries 11 deaths reported in the last 24 hours out of 2083 cases, 578 cases reported from GHMC.
నది మీద మేఘాల మృదువైన రెక్కలు నేను చూస్తున్నాను,	I see the soft wings of the clouds on the river,
బయలు దేరారు.	They set out.
ఆయన భౌతికకాయాన్ని తిరుపతిలోని నివాసానికి తరలించారు.	His body has been shifted to Thiruvananthapuram.
నగరంలోని గాంధీ ఆసుపత్రిలో ఒక బాధితుడు చేరిన విషయం తెలిసిందే.	The patient was admitted at Gandhi Hospital.
మ‌రి ఇప్ప‌టికైనా ఈ ప్రాజెక్టుకు ముంద‌డుగు ప‌డుతుందంటారా?	Is the project still on?
3,260 కోట్లకు పెంచింది.	3,260 crore.
ఇంకా టైటిల్ ఖరారు కాని ఈ సినిమా తమిళంలో సూపర్ హిట్ అయిన 'జిగర్తాండ' అనే సినిమాకు రీమేక్ గా తెరకెక్కనుంది.	The movie is the Telugu remake of Tamil super hit film, 'Jigarthanda'.
యెహోవావంటి పరిశుద్ధ దేవుడు ఒకడునులేడు నీవు తప్ప మరి ఏ దేవుడును లేడుమన దేవునివంటి ఆశ్రయదుర్గమేదియు లేదు.	There is none holy as the LORD: for there is none beside thee: neither is there any rock like our God.
దీంతో ఆమె తీవ్రగాయాలు పాలైంది.	She was very upset due to this.
కేసు నమోదు చేసి పోలీసులు దర్యాప్తు మొదలు పెట్టారు.	The police registered the case and started investigation.
కానీ తృప్తి చాలా ముఖ్యమైనది.	But being happy is important.
ప్రస్తుతం తెలంగాణలో 31,284 యాక్టివ్ కేసులు ఉన్నాయి	Currently there are 72,188 active cases in the state
దీంతో రెండో ఇన్నింగ్స్‌లో భారత్‌కు విజయం కోసం 70 పరుగులు మాత్రమే అవసరమయ్యాయి.	In the second innings, India were set a target of 70.
స్క్రీనింగ్ టెస్టులు	Screening tests
ఈ సందర్భంగా మంత్రి ఈటల మాట్లాడారు.	Speaking on the occasion the minister said.
ట్రూ నాట్ ఆధారిత పరీక్షల లాబ్స్ : 417(ప్రభుత్వ: 385   + ప్రైవేట్: 32)	TrueNat based testing labs: 417 (Govt: 385 + Private: 32)
2017 బడ్జెట్‌లోనే ఇది ఉంది.	This was earmarked in the U.S. budget for 2017.
ప్రభుత్వ పదవిని ప్రైవేటు లాభర్జన కోసం వినియోగించడమే అవినీతి అని వరల్డ్‌ బ్యాంకు నిర్వచించింది.	A World Bank defines corruption as use of public office for private profit.
పైగా అదనపు షోలు కూడా ఉంటాయి.	Extra shows are been added.
తెలంగాణ ఉద్యమ సమయం నుంచి యువతరం టిఆర్‌ఎస్ పక్షానే నిలిచింది.	The TRS party has been working right from the time of the Telangana movement.
బండలేవీ లేవు.	There are no bullets.
ఢిల్లీలోని కృషి భవన్‌లో ఇవాళ 7 రాష్ట్రాల్లోని 200 కొత్త మండీలను ఈ-నామ్‌లో చేర్చిన సందర్భంగా జరిగిన కార్యక్రమంలో ఆయన ప్రసంగించారు.	He was speaking at a function in KrishiBhawan today where 200 new mandis were added to the e-NAM platform from 7 States.
వెళ్లిపోతారా ?	Will you go?
"""చట్టంలో ఉన్నవి కూడా చేయలేదు, హామీలు నెరవేర్చలేదు."	"""No laws have been flouted, no rules have been twisted."
కయపఒక మనుష్యుడు ప్రజలకొరకు చనిపోవుట ప్రయోజనకరమని యూదులకు ఆలోచన చెప్పినవాడు.	Now Caiaphas was he, which gave counsel to the Jews, that it was expedient that one man should die for the people.
అతను పని కోసం చూస్తున్నానని.	He's looking for work.
60 స్థానాలు ఉన్న మణిపూర్‌లో కాంగ్రెస్‌ 28 సీట్లు వచ్చాయి.	The Congress won 28 seats out of 60 seats in Manipur.
నిరక్షరాస్యతా వుంది.	There is nakedness.
పెడదోవ పడుతున్న యువత	Frustrated youth
ఒక్క ఓ .	Only one...
సీబీఐ డైరెక్టర్‌గా తిరిగి బాధ్యతలు చేపట్టిన అలోక్ వర్మ	Alok Verma takes charge as new CBI Director
ఆయనకు కరోనా పరీక్షలు నిర్వహించగా నెగిటివ్ వచ్చినట్లుగా తెలుస్తుంది.	He had, reportedly, undergone coronavirus test which was negative.
వచ్చే ఎన్నికల నాటికి బీజేపీ సొంతగా అధికారంలోకి రావొచ్చునని అభిప్రాయపడ్డారు.	She said she is hopeful that the BJP would come to power in the next elections.
సముద్రం కసురుగా ఉండింది.	The sea became rough.
ఇద్దరు మృతికి కారణమైంది.	Two were killed.
అసలు ఇన్సైడర్ ట్రేడింగ్ అంటే ఏమిటో వారికి తెలుసా?	Do they know meaning of insider trading?
మీరు దీన్ని ఎలా చేయాలో తెలియరాదు.	I dont know how youre going to do it.
అలాగే కారం ఎక్కువ ఉండే ఆహారాలను కూడా తినకూడదు.	Also, do not consume spicy food.
నిందలు లేవు.	No crutches.
ఆ విషయాన్ని గమనించిన స్ధానికులు భయాందోళనలకు గురై వెంటనే పోలీసులకు తెలిపారు.	The locals who noticed them immediately informed the police.
దుస్తులు, ఆభరణాల షాపింగ్‌పై 18 శాతం మందే ఆసక్తి కనబరిచారు	Only 18 per cent showing interest in apparel and jewellery, shopping might affect malls in a big way
ఇంక రెస్టాఫ్ ఇండియా వుండనే వుంది.	Theres more holding India back.
పునరావాస కాలనీలకు సంబంధించి ఇంకా రూ.	Another Rs.
ఇక్కడ ఉన్న శాశ్వత స్థానాలలో 5-30 ఎన్నిక చేసిన కుటుంబాలు ఉండేవి.	It is estimated that there may have been 5-7 million people in these camps at any one time.
'పరుగుల ఛేజింగ్‌లో ధోని-కోహ్లీ జోడికి సాటి లేదు'	Kohli doesn't have Dhoni's match-reading skills
రంగులు మారుస్తూనూ ఉండొచ్చు.	The colour can vary, too.
ఈ విషయాన్ని చాలా జాగ్రత్తగా పరిశీలించాల్సిన అవసరం ఉందని కమిషన్‌ అభిప్రాయపడింది.	"""The commission is of the opinion that this matter is required to be probed very carefully."
ఈ విషయాలు మానవ స్వభావం.	These are natural things.
మిగిలిన రాష్ట్రాల్లో కూడా దీనిపై చర్చ జరుగతున్నది.	Talks are on with other states too.
పాక్‌ రైల్వే మంత్రి షేక్‌ రషీద్‌ ఈ ఘటనను తీవ్రంగా ఖండించారు.	Pakistan Railway minister Sheikh Rasheed has confirmed the suspension.
"""Analgin"" వైద్య కోవకు చెందుతుంది యాంటీ ఇన్ఫ్లమేటరీ కాని స్టెరాయిడ్ మందులు."	"It belongs to the class of drugs known as aniline analgesics""."
‘మేం అన్నీ కోల్పోయాం.	We have lost everything.
సక్రియం చేయడం విధానం	How to Activate
అటూ ఇటూ కూడా కదల్లేక పోయేవాడు.	He is not even able to move.
అది సరియైనది లేదా తప్పు అని అతను పట్టించుకోడు.	Its not about whether she is right or wrong.
అసలైన, కావానాహ్.	Actually, Cavanaugh.
ప్రతి హాల్‌కు 14 టేబుల్స్‌ ఏర్పాటు చేయనున్నారు.	As many as 14 tables will be placed in each counting room.
“ దానికి అసలే మతిమరుపు.	It is really crazy.
న్యూఢిల్లీ: కేంద్ర ప్రభుత్వం త్వరలో ప్రవేశపెట్టబోయే బడ్జెట్‌లో బీసీలకు రూ.	New Delhi: Central government has provided Rs.
అనంతరం ఆ మహిళను రూమ్‌లో బందించి చిత్రహింసలకు గురిచేశారు.	He then took the girl into the room and raped her.
సాంకేతిక పరిజ్ఞానం ఇంకా అభివృద్దిలో ఉందని మరియు అనేక మెరుగుదలలు అవసరమని AI యాంకర్ స్వయంగా తెలిపింది.	The AI anchor himself acknowledges that the technology is still in development and that many improvements are required.
పరిహారం కింద రూ.	The compensation of Rs.
గుండెపోటు మరియు అడ్డుపడే ధమనులు	Stress and Heart attacks
మొదట అనుమానాస్పద మృతి కింద కేసు నమోదు చేసుకున్న పోలీసులు నిందితులను పట్టుకున్నారు.	Police initially registered a case of death under suspicious circumstances.
వ్యూహాత్మక ఆర్థిక సంప్రదింపు లపై చర్చ లకు సంబంధించి భారతదేశ నీతి ఆయోగ్ మరియు రష్యన్ ఫెడరేశన్ ఆర్థికాభివృద్ధి మంత్రిత్వ శాఖ మధ్య మొదటి సమావేశం 2018 చివర లో జరుగుతుంది.	The Sides noted that the first meeting of the Strategic Economic Dialogue between NITI Aayog of India and the Ministry of Economic Development of the Russian Federation would be held later in 2018 in Russia.
ఆ సినిమా కథే ఆ ముద్దు సీన్ మీద ఆధారపడి ఉంటుంది.	The movie is based on a love story.
తెలంగాణ శాసనసభలో వాడీవేడి చర్చ	Telangana debate unlikely in House
దీనిలో 13 మెగాపిక్సెల్ ఫ్రంట్ ఫేసింగ్ కెమెరా ఉంది.	It has a 13-megapixel front-facing camera.
తాజాగా ఆమె కపిల్‌ శర్మ షోలో పాల్గొన్నారు.	She is currently a part of The Kapil Sharma Show.
దీనికి అవసరమైన బలం బీజేపీకి ఉంది.	BJP has this much power.
దీనికి తోడు తుఫాన్ కార‌ణంగా మత్స్యకారులను చేప‌ల వేట‌కు సముద్రంలోకి ప్రవేశించవద్దని రాష్ట్ర ప్రభుత్వాలు హెచ్చరించాయి.	Further, the State Governments have adequately warned fishermen not to venture into the sea
శ్రీ సంజీవ్ రంజ‌న్‌, అర్జెంటీనా లో భార‌త‌దేశం రాయ‌బారి	Mr. Sanjiv Ranjan, Ambassador of India to Argentina
సుశాంత్, నివేతా పేతురాజ్, టబు, జయరామ్‌ వంటి భారీ తారగణంతో తెరకెక్కుతున్న ఈ చిత్రాన్నిఅల్లు అరవింద్, ఎస్‌	Ala Vaikunthapurramuloo also stars Sushanth, Nivetha Pethuraj and Tabu in important roles
తెలంగాణ అసెంబ్లీని రద్దు చేస్తూ కేబినెట్ నిర్ణయం	Telangana cabinet moves to dissolve state assembly
విచారణకు హాజరైన దీపికా పదుకొనే	Deepika Padukone interrogated
మృతుల్లో ఆరుగురు మహిళలు, ఐదుగురు పురుషులు ఉన్నట్టు అధికారులు తెలిపారు.	The dead include five women and four men, police said.
'రేరు ఎవడ్రా నువ్వు?	You There?
విశాల్‌ ఫిల్మ్‌ ఫ్యాక్టరి ప్రొడక్షన్‌లో నిర్మితమవుతోన్న ఈ సినిమాని.	The film has been produced by Vishal Film Factory.
కమిటీ సభ్యులు డా.	Members of the Committee
వీడియో షేర్ చేసిన అక్షయ్ కుమార్	Akshay Kumar shares video
ప్రమాదవశాత్తు వాగులో ఒక చోట లోతుగా ఉన్నచోట పడి మృతిచెందాడు.	He accidentally slipped into deep gorge and reportedly died on the spot.
బల్లలు చరిచిన బీజేపీ ఎంపీలు	BJP lawmakers grouse
ఈ నేను మీరు మరింత చెప్పడం.	I will tell you more.
తన బుద్ధిబలమే అతని ఆయుధం.	His strength is his mind.
సమావేశంలో రాజ్యసభ సభ్యుడు గరికపాటి మోహన్‌రావు, మాజీ మంత్రి విజయరామారావు, నాయకులు ప్రేమేందర్‌రెడ్డి, వన్నాల శ్రీరాములు, కొండేటి శ్రీధర్‌, ధర్మారావు, మంత్రి శ్రీనివాస్‌, సదానందం, తదితరులు పాల్గొన్నారు.	MLC N Ramchander Rao, former minister Vijaya Rama Rao, former MP Vivek, former MLC Ponguleti Sudhakar Reddy, and senior leaders Chintha Sambamurthy, G Premender Reddy and Mantri Srinivasulu took part in the programme.
ఈ విషయంలో వివరణ ఇవ్వాలంటూ తీహార్‌ జైలు అధికారులకు నోటీసులు జారీ చేసింది.	The Tihar Jail administration has issued a notice to the convicts in this regard.
ఆ తర్వాత చల్లని నీటితో కడగాలి	Then, rinse off with cool water.
28,999గా ప్రకటించింది.	28,999, respectively.
అయితే పరిస్థితులు మాత్రం భిన్నంగా మారాయి.	However, circumstances changed.
బాధ్యులపై చర్యలు తీసుకోవాలని కోరామని తెలిపారు.	He demanded action against those responsible.
కె ఎస్ రవి కుమార్ దర్శకత్వం వహించిన ఈ సినిమా ప్రేక్షకులను అంతగా ఆకట్టుకోలేకపోయింది.	The film is directed by KS Ravi Kumar.
దేశ ఆర్థిక వ్యవస్థ కుప్పకూలే పరిస్థితిలో ఉంది.	The countrys economy is in a pathetic condition.
వేసవి సెలవుల్లో, నేను ఈ న్యూ యార్క్ కి ఇంటర్న్శిప్ కోసం వచ్చాను. చైనాటౌన్ లో ఒక ఫ్యాషన్ హౌస్ దగ్గర.	One summer break, I came here to New York for an internship at a fashion house in Chinatown.
సుగంధ ద్రవ్యాల్లో ఉన్న ఆరోగ్య ప్రయోజనాల వల్ల వీటిని మందుల తయారీలోనూ వాడుతారు.	These are also utilised in the preparation of medicines.
దీని తర్వాతనే ప్రధాని ఈ పరిహారాన్ని ప్రకటించారు.	Subsequently, the chief minister made the announcement.
న్యూఢిల్లీ: సీబీఎస్ఈ 12వ తరగతి ఫలితాలు శనివారం మధ్యాహ్నాం విడుదలయ్యాయి	The CBSE declared its Class 12 results on Saturday
శూర్పణఖ లంక చక్రవర్తి రావణుడి సోదరి.	Surpanakha was Lankan King Ravanas sister.
నిఫ్టీ బ్యాంకు, ఫైనాన్షియల్ స్టాక్స్ ఏకంగా 3 శాతం నుండి 4 శాతానికి పైగా లాభపడ్డాయి.	Banking and finance stocks were once again at the heart of the rally with the Bank Nifty spurting almost 4 per cent.
ప్రేమ పావురాలు.	Love birds
దైవపరిపాలనా పరిచర్య పాఠశాల విద్యనుండి ప్రయోజనం పొందండి అనే క్రొత్త పుస్తకం త్వరలోనే ప్రచురించబడుతుందని తెలుసుకొని మనం ఆనందించాం.	We rejoiced to learn that a new book entitled Benefit From Theocratic Ministry School Education will be published soon.
చివర్లో సింధు తన అద్భుత ఆటతీరుతో మొదటి గేమ్ ను 21-19 తేడాతో కైవసం చేసుకుంది.	Sindhu after an impeccable display on the court wrapped up the final game 21-19.
వర్సటైల్ ఫర్నిచర్ ఉపయోగించండి	Use your furniture
రాణా జాకోబ్‌ విల్సన్‌, సుధీర్‌ ధబ్లే, సురేంద్ర గడ్లింగ్‌, షోమా సేన్‌, మహేశ్‌ రౌత్‌లను కస్టడీలోకి తీసుకున్నారు.	Rona Wilson, Sudhir Dhawale, Surendra Gadling, Mahesh Raut and Shoma Sen.
గీతా ఆర్ట్స్ మ‌రియు హారిక & హాసిని క్రియేష‌న్స్ బ్యాన‌ర్ సంయుక్తంగా నిర్మిస్తున్న ఈ భారీ చిత్రం సంక్రాంతి కానుక‌గా ప్రేక్ష‌కుల ముందుకు రానుంది.	Produced jointly by Geetha Arts and Haarika & Hassine Creations, this movie, which will hit the screens during Sankranthi festival, has been riding high on expectations.
ఇటువంటి మరింత ఆధునిక రకం నెబ్యులైజర్లకు ఉదాహరణలు: ఒమ్రాన్ NE-U17 మరియు బ్యూరర్ నెబ్యులైజర్ IH30.	Examples of these more modern type of nebulizers are: Omron NE-U17 and Beurer Nebulizer IH30.
కానీ ఇది ఉత్తమ కొనుగోలు అంటే ఏమిటి?	But whats the best choice?
రాహుల్‌తో భేటీ	Rahul have faced
జనం ఏం చేయమంటే అది చేస్తా .	People will do what they do.
రాష్ట్రంలో ప్రభుత్వాన్ని ఏర్పాటు చేయాలని గవర్నర్ భగత్ సింగ్ కోశ్యారీ బీజేపీని ఆహ్వానించారు.	Maharashtra Governor Bhagat Singh Koshyari had first invited the BJP to form the government.
మొదటి అవకాశం ఇచ్చిన హిమేష్ రేషమ్మియా ఆమెకు తన నెక్స్ట్ సినిమాలో పాట పాడే అవకాశం కూడా ఇచ్చాడు.	Himesh Reshammiya had promised her on the show that he will give her the opportunity to sing for his next film.
ఇప్పటివరకు భారతదేశంలో జరిగిన అనేక ఉగ్రవాద దాడులకు సూత్రధారి జైషే మహ్మద్ చీఫ్ మసూద్ అజహర్.	Masood Azhar is the chief of Jaish-e-Mohammed, which has been behind several terror attacks in India.
దాని గురించి అంత పట్టించుకోవాల్సిన అవసరం లేదని అనుకుంటున్నా.	I think we need not be that worried.
తాజా లెక్కలతో దేశంలో నమోదైన మొత్తం కరోనా పాజిటివ్‌ కేసుల సంఖ్య 9,36,181కి చేరింది.	A total of 9,36,181 confirmed cases have been recorded so far in the country.
ేన్నీ వదలి పెట్టడం లేదు.	Leave nothing out.
వేగంగా పునరావృతమయ్యే కీ వత్తులను విస్మరించుటకు ఆన్ చేయి. ఉదాహరణకు, మీ చేయి వణకడం మూలాన వొకసారి నొక్కుదామని మరిన్ని సార్లు నొక్కుతూంటే, మీరు బౌన్స్ కీలను ఆన్ చేయాలి.	Turn on to ignore key presses that are rapidly repeated. For example, if you have hand tremors which cause you to press a key multiple times when you only want to press it once, you should turn on bounce keys.
అంతేకాదు, రిపబ్లిక్ డే వేడుకలకు చీఫ్ గెస్ట్ గా హాజరైన తొలి అమెరికా ప్రెసిడెంట్ గా కూడా ఆయనే.	He was the first US president to be take part as the chief guest in the Republic Day celebrations.
సెంట్రల్‌ దిల్లీలోని ఐటీఓ కూడలికి చేరుకున్న నిరసనకారులు వాహనాలను, డీటీసీ బస్సులను ధ్వంసం చేశారు.	Farmers reach near ITO intersection in central Delhi and damage vehicles and DTC buses.
సో అక్కడ వారు తమ సొంత సమస్యలు ఉంటాయి.	Theyve had their own problems.
39,999కే విక్రయిస్తున్నారు.	It is priced at Rs 39,999.
దీంతోపాటు మండీల మధ్య, రాష్ట్రాల మధ్య విక్రయాల వెసులుబాటు కోసం రవాణా విభాగం స్థాయి పెంచబడింది.	Speaking on the occasion, Shri Narendra Singh Tomar reiterated that e-NAM was launched on 14 April 2016 as a pan-India electronic trade portal linking APMCs across the States.
అగ్నిమాపక సిబ్బంది మంటలు పూర్తిగా అదుపుచేశారు.	The fire was controlled immediately by the fire officials.
అడవి బిడ్డలు	Children of the forest
